time (s) 	 speed 
0 	 0
0 	 0.0098
0.001 	 0.0195904
0.002 	 0.0293712
0.003 	 0.0391424
0.004 	 0.0489041
0.005 	 0.0586561
0.006 	 0.0683986
0.007 	 0.0781316
0.008 	 0.087855
0.009 	 0.0975689
0.01 	 0.107273
0.011 	 0.116968
0.012 	 0.126654
0.013 	 0.136329
0.014 	 0.145996
0.015 	 0.155653
0.016 	 0.1653
0.017 	 0.174938
0.018 	 0.184567
0.019 	 0.194186
0.02 	 0.203796
0.021 	 0.213396
0.022 	 0.222987
0.023 	 0.232568
0.024 	 0.24214
0.025 	 0.251703
0.026 	 0.261256
0.027 	 0.2708
0.028 	 0.280335
0.029 	 0.28986
0.03 	 0.299376
0.031 	 0.308883
0.032 	 0.31838
0.033 	 0.327868
0.034 	 0.337347
0.035 	 0.346816
0.036 	 0.356276
0.037 	 0.365727
0.038 	 0.375169
0.039 	 0.384601
0.04 	 0.394024
0.041 	 0.403438
0.042 	 0.412843
0.043 	 0.422238
0.044 	 0.431624
0.045 	 0.441001
0.046 	 0.450369
0.047 	 0.459728
0.048 	 0.469077
0.049 	 0.478417
0.05 	 0.487749
0.051 	 0.497071
0.052 	 0.506383
0.053 	 0.515687
0.054 	 0.524982
0.055 	 0.534267
0.056 	 0.543544
0.057 	 0.552811
0.058 	 0.562069
0.059 	 0.571319
0.06 	 0.580559
0.061 	 0.58979
0.062 	 0.599012
0.063 	 0.608225
0.064 	 0.617429
0.065 	 0.626624
0.066 	 0.635809
0.067 	 0.644986
0.068 	 0.654154
0.069 	 0.663313
0.07 	 0.672463
0.071 	 0.681604
0.072 	 0.690736
0.073 	 0.699859
0.074 	 0.708973
0.075 	 0.718079
0.076 	 0.727175
0.077 	 0.736262
0.078 	 0.745341
0.079 	 0.75441
0.08 	 0.763471
0.081 	 0.772523
0.082 	 0.781566
0.083 	 0.7906
0.084 	 0.799625
0.085 	 0.808641
0.086 	 0.817649
0.087 	 0.826648
0.088 	 0.835637
0.089 	 0.844619
0.09 	 0.853591
0.091 	 0.862554
0.092 	 0.871509
0.093 	 0.880455
0.094 	 0.889392
0.095 	 0.89832
0.096 	 0.90724
0.097 	 0.916151
0.098 	 0.925053
0.099 	 0.933947
0.1 	 0.942831
0.101 	 0.951707
0.102 	 0.960575
0.103 	 0.969433
0.104 	 0.978283
0.105 	 0.987125
0.106 	 0.995957
0.107 	 1.00478
0.108 	 1.0136
0.109 	 1.0224
0.11 	 1.0312
0.111 	 1.03999
0.112 	 1.04877
0.113 	 1.05754
0.114 	 1.06631
0.115 	 1.07506
0.116 	 1.08381
0.117 	 1.09255
0.118 	 1.10128
0.119 	 1.11
0.12 	 1.11871
0.121 	 1.12741
0.122 	 1.13611
0.123 	 1.14479
0.124 	 1.15347
0.125 	 1.16214
0.126 	 1.1708
0.127 	 1.17946
0.128 	 1.1881
0.129 	 1.19674
0.13 	 1.20536
0.131 	 1.21398
0.132 	 1.22259
0.133 	 1.23119
0.134 	 1.23979
0.135 	 1.24837
0.136 	 1.25695
0.137 	 1.26552
0.138 	 1.27408
0.139 	 1.28263
0.14 	 1.29117
0.141 	 1.29971
0.142 	 1.30823
0.143 	 1.31675
0.144 	 1.32526
0.145 	 1.33376
0.146 	 1.34225
0.147 	 1.35074
0.148 	 1.35921
0.149 	 1.36768
0.15 	 1.37614
0.151 	 1.38459
0.152 	 1.39304
0.153 	 1.40147
0.154 	 1.4099
0.155 	 1.41832
0.156 	 1.42673
0.157 	 1.43513
0.158 	 1.44352
0.159 	 1.45191
0.16 	 1.46028
0.161 	 1.46865
0.162 	 1.47701
0.163 	 1.48537
0.164 	 1.49371
0.165 	 1.50205
0.166 	 1.51037
0.167 	 1.51869
0.168 	 1.52701
0.169 	 1.53531
0.17 	 1.54361
0.171 	 1.55189
0.172 	 1.56017
0.173 	 1.56844
0.174 	 1.57671
0.175 	 1.58496
0.176 	 1.59321
0.177 	 1.60145
0.178 	 1.60968
0.179 	 1.6179
0.18 	 1.62611
0.181 	 1.63432
0.182 	 1.64252
0.183 	 1.65071
0.184 	 1.65889
0.185 	 1.66707
0.186 	 1.67523
0.187 	 1.68339
0.188 	 1.69154
0.189 	 1.69968
0.19 	 1.70782
0.191 	 1.71594
0.192 	 1.72406
0.193 	 1.73217
0.194 	 1.74027
0.195 	 1.74837
0.196 	 1.75646
0.197 	 1.76453
0.198 	 1.7726
0.199 	 1.78067
0.2 	 1.78872
0.201 	 1.79677
0.202 	 1.80481
0.203 	 1.81284
0.204 	 1.82086
0.205 	 1.82888
0.206 	 1.83689
0.207 	 1.84489
0.208 	 1.85288
0.209 	 1.86086
0.21 	 1.86884
0.211 	 1.87681
0.212 	 1.88477
0.213 	 1.89272
0.214 	 1.90067
0.215 	 1.9086
0.216 	 1.91653
0.217 	 1.92446
0.218 	 1.93237
0.219 	 1.94028
0.22 	 1.94817
0.221 	 1.95606
0.222 	 1.96395
0.223 	 1.97182
0.224 	 1.97969
0.225 	 1.98755
0.226 	 1.9954
0.227 	 2.00325
0.228 	 2.01108
0.229 	 2.01891
0.23 	 2.02673
0.231 	 2.03455
0.232 	 2.04235
0.233 	 2.05015
0.234 	 2.05794
0.235 	 2.06573
0.236 	 2.0735
0.237 	 2.08127
0.238 	 2.08903
0.239 	 2.09678
0.24 	 2.10453
0.241 	 2.11227
0.242 	 2.12
0.243 	 2.12772
0.244 	 2.13543
0.245 	 2.14314
0.246 	 2.15084
0.247 	 2.15853
0.248 	 2.16622
0.249 	 2.17389
0.25 	 2.18156
0.251 	 2.18923
0.252 	 2.19688
0.253 	 2.20453
0.254 	 2.21217
0.255 	 2.2198
0.256 	 2.22742
0.257 	 2.23504
0.258 	 2.24265
0.259 	 2.25025
0.26 	 2.25785
0.261 	 2.26544
0.262 	 2.27302
0.263 	 2.28059
0.264 	 2.28815
0.265 	 2.29571
0.266 	 2.30326
0.267 	 2.3108
0.268 	 2.31834
0.269 	 2.32587
0.27 	 2.33339
0.271 	 2.3409
0.272 	 2.34841
0.273 	 2.35591
0.274 	 2.3634
0.275 	 2.37088
0.276 	 2.37836
0.277 	 2.38583
0.278 	 2.39329
0.279 	 2.40074
0.28 	 2.40819
0.281 	 2.41563
0.282 	 2.42306
0.283 	 2.43049
0.284 	 2.43791
0.285 	 2.44532
0.286 	 2.45272
0.287 	 2.46012
0.288 	 2.46751
0.289 	 2.47489
0.29 	 2.48226
0.291 	 2.48963
0.292 	 2.49699
0.293 	 2.50434
0.294 	 2.51169
0.295 	 2.51903
0.296 	 2.52636
0.297 	 2.53368
0.298 	 2.541
0.299 	 2.54831
0.3 	 2.55561
0.301 	 2.56291
0.302 	 2.5702
0.303 	 2.57748
0.304 	 2.58475
0.305 	 2.59202
0.306 	 2.59928
0.307 	 2.60653
0.308 	 2.61378
0.309 	 2.62101
0.31 	 2.62825
0.311 	 2.63547
0.312 	 2.64269
0.313 	 2.6499
0.314 	 2.6571
0.315 	 2.6643
0.316 	 2.67149
0.317 	 2.67867
0.318 	 2.68584
0.319 	 2.69301
0.32 	 2.70017
0.321 	 2.70733
0.322 	 2.71447
0.323 	 2.72161
0.324 	 2.72874
0.325 	 2.73587
0.326 	 2.74299
0.327 	 2.7501
0.328 	 2.75721
0.329 	 2.7643
0.33 	 2.7714
0.331 	 2.77848
0.332 	 2.78556
0.333 	 2.79263
0.334 	 2.79969
0.335 	 2.80675
0.336 	 2.8138
0.337 	 2.82084
0.338 	 2.82787
0.339 	 2.8349
0.34 	 2.84192
0.341 	 2.84894
0.342 	 2.85595
0.343 	 2.86295
0.344 	 2.86994
0.345 	 2.87693
0.346 	 2.88391
0.347 	 2.89088
0.348 	 2.89785
0.349 	 2.90481
0.35 	 2.91176
0.351 	 2.91871
0.352 	 2.92565
0.353 	 2.93258
0.354 	 2.93951
0.355 	 2.94643
0.356 	 2.95334
0.357 	 2.96025
0.358 	 2.96715
0.359 	 2.97404
0.36 	 2.98092
0.361 	 2.9878
0.362 	 2.99467
0.363 	 3.00154
0.364 	 3.0084
0.365 	 3.01525
0.366 	 3.02209
0.367 	 3.02893
0.368 	 3.03576
0.369 	 3.04259
0.37 	 3.04941
0.371 	 3.05622
0.372 	 3.06302
0.373 	 3.06982
0.374 	 3.07661
0.375 	 3.0834
0.376 	 3.09018
0.377 	 3.09695
0.378 	 3.10371
0.379 	 3.11047
0.38 	 3.11722
0.381 	 3.12397
0.382 	 3.13071
0.383 	 3.13744
0.384 	 3.14417
0.385 	 3.15088
0.386 	 3.1576
0.387 	 3.1643
0.388 	 3.171
0.389 	 3.17769
0.39 	 3.18438
0.391 	 3.19106
0.392 	 3.19773
0.393 	 3.2044
0.394 	 3.21106
0.395 	 3.21771
0.396 	 3.22436
0.397 	 3.231
0.398 	 3.23763
0.399 	 3.24426
0.4 	 3.25088
0.401 	 3.25749
0.402 	 3.2641
0.403 	 3.2707
0.404 	 3.2773
0.405 	 3.28388
0.406 	 3.29047
0.407 	 3.29704
0.408 	 3.30361
0.409 	 3.31017
0.41 	 3.31673
0.411 	 3.32328
0.412 	 3.32982
0.413 	 3.33636
0.414 	 3.34289
0.415 	 3.34941
0.416 	 3.35593
0.417 	 3.36244
0.418 	 3.36895
0.419 	 3.37544
0.42 	 3.38194
0.421 	 3.38842
0.422 	 3.3949
0.423 	 3.40137
0.424 	 3.40784
0.425 	 3.4143
0.426 	 3.42076
0.427 	 3.4272
0.428 	 3.43364
0.429 	 3.44008
0.43 	 3.44651
0.431 	 3.45293
0.432 	 3.45935
0.433 	 3.46576
0.434 	 3.47216
0.435 	 3.47856
0.436 	 3.48495
0.437 	 3.49133
0.438 	 3.49771
0.439 	 3.50408
0.44 	 3.51045
0.441 	 3.51681
0.442 	 3.52316
0.443 	 3.52951
0.444 	 3.53585
0.445 	 3.54219
0.446 	 3.54852
0.447 	 3.55484
0.448 	 3.56115
0.449 	 3.56746
0.45 	 3.57377
0.451 	 3.58007
0.452 	 3.58636
0.453 	 3.59264
0.454 	 3.59892
0.455 	 3.60519
0.456 	 3.61146
0.457 	 3.61772
0.458 	 3.62398
0.459 	 3.63023
0.46 	 3.63647
0.461 	 3.6427
0.462 	 3.64893
0.463 	 3.65516
0.464 	 3.66138
0.465 	 3.66759
0.466 	 3.67379
0.467 	 3.67999
0.468 	 3.68619
0.469 	 3.69237
0.47 	 3.69856
0.471 	 3.70473
0.472 	 3.7109
0.473 	 3.71706
0.474 	 3.72322
0.475 	 3.72937
0.476 	 3.73552
0.477 	 3.74166
0.478 	 3.74779
0.479 	 3.75392
0.48 	 3.76004
0.481 	 3.76615
0.482 	 3.77226
0.483 	 3.77837
0.484 	 3.78446
0.485 	 3.79055
0.486 	 3.79664
0.487 	 3.80272
0.488 	 3.80879
0.489 	 3.81486
0.49 	 3.82092
0.491 	 3.82698
0.492 	 3.83303
0.493 	 3.83907
0.494 	 3.84511
0.495 	 3.85114
0.496 	 3.85717
0.497 	 3.86319
0.498 	 3.8692
0.499 	 3.87521
0.5 	 3.88121
0.501 	 3.88721
0.502 	 3.8932
0.503 	 3.89918
0.504 	 3.90516
0.505 	 3.91113
0.506 	 3.9171
0.507 	 3.92306
0.508 	 3.92902
0.509 	 3.93497
0.51 	 3.94091
0.511 	 3.94685
0.512 	 3.95278
0.513 	 3.95871
0.514 	 3.96463
0.515 	 3.97054
0.516 	 3.97645
0.517 	 3.98235
0.518 	 3.98825
0.519 	 3.99414
0.52 	 4.00003
0.521 	 4.00591
0.522 	 4.01178
0.523 	 4.01765
0.524 	 4.02351
0.525 	 4.02937
0.526 	 4.03522
0.527 	 4.04107
0.528 	 4.04691
0.529 	 4.05274
0.53 	 4.05857
0.531 	 4.06439
0.532 	 4.07021
0.533 	 4.07602
0.534 	 4.08183
0.535 	 4.08763
0.536 	 4.09342
0.537 	 4.09921
0.538 	 4.10499
0.539 	 4.11077
0.54 	 4.11654
0.541 	 4.12231
0.542 	 4.12807
0.543 	 4.13382
0.544 	 4.13957
0.545 	 4.14531
0.546 	 4.15105
0.547 	 4.15678
0.548 	 4.16251
0.549 	 4.16823
0.55 	 4.17394
0.551 	 4.17965
0.552 	 4.18536
0.553 	 4.19106
0.554 	 4.19675
0.555 	 4.20244
0.556 	 4.20812
0.557 	 4.21379
0.558 	 4.21946
0.559 	 4.22513
0.56 	 4.23079
0.561 	 4.23644
0.562 	 4.24209
0.563 	 4.24773
0.564 	 4.25337
0.565 	 4.259
0.566 	 4.26463
0.567 	 4.27025
0.568 	 4.27586
0.569 	 4.28147
0.57 	 4.28708
0.571 	 4.29268
0.572 	 4.29827
0.573 	 4.30386
0.574 	 4.30944
0.575 	 4.31502
0.576 	 4.32059
0.577 	 4.32615
0.578 	 4.33171
0.579 	 4.33727
0.58 	 4.34282
0.581 	 4.34836
0.582 	 4.3539
0.583 	 4.35943
0.584 	 4.36496
0.585 	 4.37048
0.586 	 4.376
0.587 	 4.38151
0.588 	 4.38702
0.589 	 4.39252
0.59 	 4.39801
0.591 	 4.4035
0.592 	 4.40899
0.593 	 4.41447
0.594 	 4.41994
0.595 	 4.42541
0.596 	 4.43087
0.597 	 4.43633
0.598 	 4.44178
