time (s) 	 speed 
0 	 0
0 	 0.98
0.1 	 1.86396
0.2 	 2.66129
0.3 	 3.38049
0.4 	 4.0292
0.5 	 4.61434
0.6 	 5.14213
0.7 	 5.6182
0.8 	 6.04762
0.9 	 6.43495
1 	 6.78433
1.1 	 7.09946
1.2 	 7.38372
1.3 	 7.64011
1.4 	 7.87138
1.5 	 8.07999
1.6 	 8.26815
1.7 	 8.43787
1.8 	 8.59096
1.9 	 8.72904
2 	 8.8536
2.1 	 8.96594
2.2 	 9.06728
2.3 	 9.15869
2.4 	 9.24114
2.5 	 9.31551
2.6 	 9.38259
2.7 	 9.44309
2.8 	 9.49767
2.9 	 9.5469
3 	 9.5913
3.1 	 9.63135
3.2 	 9.66748
3.3 	 9.70007
3.4 	 9.72946
3.5 	 9.75597
3.6 	 9.77989
3.7 	 9.80146
3.8 	 9.82092
3.9 	 9.83847
4 	 9.8543
4.1 	 9.86858
4.2 	 9.88146
4.3 	 9.89307
4.4 	 9.90355
4.5 	 9.913
4.6 	 9.92153
4.7 	 9.92922
4.8 	 9.93616
4.9 	 9.94241
5 	 9.94806
5.1 	 9.95315
5.2 	 9.95774
5.3 	 9.96188
5.4 	 9.96562
5.5 	 9.96899
5.6 	 9.97202
5.7 	 9.97477
5.8 	 9.97724
5.9 	 9.97947
6 	 9.98148
6.1 	 9.9833
6.2 	 9.98493
6.3 	 9.98641
6.4 	 9.98774
6.5 	 9.98894
6.6 	 9.99003
6.7 	 9.991
6.8 	 9.99189
6.9 	 9.99268
7 	 9.9934
7.1 	 9.99405
7.2 	 9.99463
7.3 	 9.99516
7.4 	 9.99563
7.5 	 9.99606
7.6 	 9.99644
7.7 	 9.99679
7.8 	 9.99711
7.9 	 9.99739
8 	 9.99765
8.1 	 9.99788
8.2 	 9.99809
8.3 	 9.99827
8.4 	 9.99844
8.5 	 9.99859
8.6 	 9.99873
8.7 	 9.99886
8.8 	 9.99897
8.9 	 9.99907
9 	 9.99916
9.1 	 9.99924
9.2 	 9.99932
9.3 	 9.99938
9.4 	 9.99944
9.5 	 9.9995
9.6 	 9.99955
9.7 	 9.99959
9.8 	 9.99963
9.9 	 9.99967
10 	 9.9997
10.1 	 9.99973
10.2 	 9.99976
10.3 	 9.99978
10.4 	 9.9998
10.5 	 9.99982
10.6 	 9.99984
10.7 	 9.99985
10.8 	 9.99987
10.9 	 9.99988
11 	 9.99989
11.1 	 9.9999
11.2 	 9.99991
11.3 	 9.99992
11.4 	 9.99993
11.5 	 9.99994
11.6 	 9.99994
11.7 	 9.99995
11.8 	 9.99995
11.9 	 9.99996
12 	 9.99996
12.1 	 9.99997
12.2 	 9.99997
12.3 	 9.99997
12.4 	 9.99997
12.5 	 9.99998
12.6 	 9.99998
12.7 	 9.99998
12.8 	 9.99998
12.9 	 9.99998
13 	 9.99999
13.1 	 9.99999
13.2 	 9.99999
13.3 	 9.99999
13.4 	 9.99999
13.5 	 9.99999
13.6 	 9.99999
13.7 	 9.99999
13.8 	 9.99999
13.9 	 9.99999
14 	 10
14.1 	 10
14.2 	 10
14.3 	 10
14.4 	 10
14.5 	 10
14.6 	 10
14.7 	 10
14.8 	 10
14.9 	 10
15 	 10
15.1 	 10
15.2 	 10
15.3 	 10
15.4 	 10
15.5 	 10
15.6 	 10
15.7 	 10
15.8 	 10
15.9 	 10
16 	 10
16.1 	 10
16.2 	 10
16.3 	 10
16.4 	 10
16.5 	 10
16.6 	 10
16.7 	 10
16.8 	 10
16.9 	 10
17 	 10
17.1 	 10
17.2 	 10
17.3 	 10
17.4 	 10
17.5 	 10
17.6 	 10
17.7 	 10
17.8 	 10
17.9 	 10
18 	 10
18.1 	 10
18.2 	 10
18.3 	 10
18.4 	 10
18.5 	 10
18.6 	 10
18.7 	 10
18.8 	 10
18.9 	 10
19 	 10
19.1 	 10
19.2 	 10
19.3 	 10
19.4 	 10
19.5 	 10
19.6 	 10
19.7 	 10
19.8 	 10
19.9 	 10
20 	 10
