time 	 Period 
  793.570150 	   3.462605 
  797.032806 	   3.462656 
  800.495360 	   3.462554 
  803.957965 	   3.462605 
  807.420621 	   3.462656 
  810.883277 	   3.462656 
  814.345882 	   3.462605 
  817.808486 	   3.462605 
  821.271091 	   3.462605 
  824.733645 	   3.462554 
  828.196250 	   3.462605 
  831.658854 	   3.462605 
  835.121408 	   3.462554 
  838.584064 	   3.462656 
  842.046720 	   3.462656 
  845.509274 	   3.462554 
  848.971878 	   3.462605 
  852.434534 	   3.462656 
  855.897037 	   3.462502 
  859.359642 	   3.462605 
  862.822298 	   3.462656 
