time (s) 	 speed 
0 	 0
0 	 0.098
0.01 	 0.194079
0.02 	 0.288275
0.03 	 0.380625
0.04 	 0.471165
0.05 	 0.55993
0.06 	 0.646955
0.07 	 0.732275
0.08 	 0.815922
0.09 	 0.89793
0.1 	 0.978331
0.11 	 1.05716
0.12 	 1.13444
0.13 	 1.2102
0.14 	 1.28448
0.15 	 1.3573
0.16 	 1.4287
0.17 	 1.4987
0.18 	 1.56732
0.19 	 1.6346
0.2 	 1.70057
0.21 	 1.76524
0.22 	 1.82864
0.23 	 1.8908
0.24 	 1.95174
0.25 	 2.01148
0.26 	 2.07006
0.27 	 2.12748
0.28 	 2.18379
0.29 	 2.23898
0.3 	 2.2931
0.31 	 2.34615
0.32 	 2.39817
0.33 	 2.44917
0.34 	 2.49916
0.35 	 2.54818
0.36 	 2.59623
0.37 	 2.64335
0.38 	 2.68954
0.39 	 2.73482
0.4 	 2.77922
0.41 	 2.82275
0.42 	 2.86542
0.43 	 2.90726
0.44 	 2.94828
0.45 	 2.98849
0.46 	 3.02792
0.47 	 3.06657
0.48 	 3.10446
0.49 	 3.14162
0.5 	 3.17804
0.51 	 3.21375
0.52 	 3.24876
0.53 	 3.28309
0.54 	 3.31674
0.55 	 3.34973
0.56 	 3.38208
0.57 	 3.41379
0.58 	 3.44488
0.59 	 3.47536
0.6 	 3.50524
0.61 	 3.53454
0.62 	 3.56326
0.63 	 3.59142
0.64 	 3.61903
0.65 	 3.6461
0.66 	 3.67263
0.67 	 3.69865
0.68 	 3.72416
0.69 	 3.74916
0.7 	 3.77368
0.71 	 3.79771
0.72 	 3.82128
0.73 	 3.84438
0.74 	 3.86703
0.75 	 3.88924
0.76 	 3.91101
0.77 	 3.93235
0.78 	 3.95328
0.79 	 3.97379
0.8 	 3.99391
0.81 	 4.01363
0.82 	 4.03296
0.83 	 4.05191
0.84 	 4.0705
0.85 	 4.08872
0.86 	 4.10658
0.87 	 4.12409
0.88 	 4.14126
0.89 	 4.15809
0.9 	 4.17459
0.91 	 4.19077
0.92 	 4.20663
0.93 	 4.22218
0.94 	 4.23742
0.95 	 4.25237
0.96 	 4.26702
0.97 	 4.28139
0.98 	 4.29547
0.99 	 4.30928
1 	 4.32282
1.01 	 4.33609
1.02 	 4.34911
1.03 	 4.36186
1.04 	 4.37437
1.05 	 4.38663
1.06 	 4.39866
1.07 	 4.41044
1.08 	 4.422
1.09 	 4.43333
1.1 	 4.44443
1.11 	 4.45532
1.12 	 4.466
1.13 	 4.47646
1.14 	 4.48673
1.15 	 4.49679
1.16 	 4.50665
1.17 	 4.51632
1.18 	 4.5258
1.19 	 4.53509
1.2 	 4.5442
1.21 	 4.55314
1.22 	 4.5619
1.23 	 4.57048
1.24 	 4.5789
1.25 	 4.58716
1.26 	 4.59525
1.27 	 4.60318
1.28 	 4.61096
1.29 	 4.61858
1.3 	 4.62606
1.31 	 4.63339
1.32 	 4.64057
1.33 	 4.64762
1.34 	 4.65453
1.35 	 4.6613
1.36 	 4.66794
1.37 	 4.67444
1.38 	 4.68082
1.39 	 4.68708
1.4 	 4.69321
1.41 	 4.69923
1.42 	 4.70512
1.43 	 4.7109
1.44 	 4.71657
1.45 	 4.72212
1.46 	 4.72757
1.47 	 4.73291
1.48 	 4.73814
1.49 	 4.74328
1.5 	 4.74831
1.51 	 4.75324
1.52 	 4.75808
1.53 	 4.76282
1.54 	 4.76747
1.55 	 4.77203
1.56 	 4.77649
1.57 	 4.78088
1.58 	 4.78517
1.59 	 4.78938
1.6 	 4.79351
1.61 	 4.79756
1.62 	 4.80152
1.63 	 4.80541
1.64 	 4.80923
1.65 	 4.81297
1.66 	 4.81663
1.67 	 4.82023
1.68 	 4.82375
1.69 	 4.8272
1.7 	 4.83059
1.71 	 4.83391
1.72 	 4.83717
1.73 	 4.84036
1.74 	 4.84349
1.75 	 4.84656
1.76 	 4.84956
1.77 	 4.85251
1.78 	 4.8554
1.79 	 4.85824
1.8 	 4.86102
1.81 	 4.86374
1.82 	 4.86641
1.83 	 4.86903
1.84 	 4.8716
1.85 	 4.87411
1.86 	 4.87658
1.87 	 4.879
1.88 	 4.88137
1.89 	 4.8837
1.9 	 4.88597
1.91 	 4.88821
1.92 	 4.8904
1.93 	 4.89255
1.94 	 4.89465
1.95 	 4.89672
1.96 	 4.89874
1.97 	 4.90073
1.98 	 4.90267
1.99 	 4.90458
2 	 4.90645
