time (s) 	 speed 
0 	 0
0 	 0.0098
0.001 	 0.0195808
0.002 	 0.0293424
0.003 	 0.0390849
0.004 	 0.0488083
0.005 	 0.0585126
0.006 	 0.0681979
0.007 	 0.0778643
0.008 	 0.0875117
0.009 	 0.0971401
0.01 	 0.10675
0.011 	 0.116341
0.012 	 0.125912
0.013 	 0.135466
0.014 	 0.145
0.015 	 0.154516
0.016 	 0.164013
0.017 	 0.173492
0.018 	 0.182952
0.019 	 0.192393
0.02 	 0.201816
0.021 	 0.21122
0.022 	 0.220606
0.023 	 0.229974
0.024 	 0.239323
0.025 	 0.248654
0.026 	 0.257967
0.027 	 0.267261
0.028 	 0.276537
0.029 	 0.285795
0.03 	 0.295035
0.031 	 0.304257
0.032 	 0.313461
0.033 	 0.322646
0.034 	 0.331814
0.035 	 0.340963
0.036 	 0.350095
0.037 	 0.359209
0.038 	 0.368305
0.039 	 0.377383
0.04 	 0.386443
0.041 	 0.395486
0.042 	 0.404511
0.043 	 0.413518
0.044 	 0.422507
0.045 	 0.431479
0.046 	 0.440434
0.047 	 0.44937
0.048 	 0.45829
0.049 	 0.467191
0.05 	 0.476076
0.051 	 0.484943
0.052 	 0.493792
0.053 	 0.502624
0.054 	 0.511439
0.055 	 0.520237
0.056 	 0.529017
0.057 	 0.53778
0.058 	 0.546526
0.059 	 0.555255
0.06 	 0.563967
0.061 	 0.572661
0.062 	 0.581339
0.063 	 0.589999
0.064 	 0.598643
0.065 	 0.60727
0.066 	 0.615879
0.067 	 0.624472
0.068 	 0.633048
0.069 	 0.641608
0.07 	 0.65015
0.071 	 0.658676
0.072 	 0.667185
0.073 	 0.675677
0.074 	 0.684153
0.075 	 0.692612
0.076 	 0.701054
0.077 	 0.70948
0.078 	 0.71789
0.079 	 0.726283
0.08 	 0.734659
0.081 	 0.743019
0.082 	 0.751363
0.083 	 0.75969
0.084 	 0.768001
0.085 	 0.776296
0.086 	 0.784574
0.087 	 0.792837
0.088 	 0.801083
0.089 	 0.809312
0.09 	 0.817526
0.091 	 0.825724
0.092 	 0.833905
0.093 	 0.842071
0.094 	 0.850221
0.095 	 0.858354
0.096 	 0.866472
0.097 	 0.874573
0.098 	 0.882659
0.099 	 0.890729
0.1 	 0.898783
0.101 	 0.906822
0.102 	 0.914844
0.103 	 0.922851
0.104 	 0.930843
0.105 	 0.938818
0.106 	 0.946778
0.107 	 0.954722
0.108 	 0.962651
0.109 	 0.970564
0.11 	 0.978462
0.111 	 0.986344
0.112 	 0.994211
0.113 	 1.00206
0.114 	 1.0099
0.115 	 1.01772
0.116 	 1.02552
0.117 	 1.03331
0.118 	 1.04109
0.119 	 1.04885
0.12 	 1.05659
0.121 	 1.06432
0.122 	 1.07204
0.123 	 1.07973
0.124 	 1.08742
0.125 	 1.09509
0.126 	 1.10274
0.127 	 1.11038
0.128 	 1.118
0.129 	 1.12561
0.13 	 1.13321
0.131 	 1.14078
0.132 	 1.14835
0.133 	 1.1559
0.134 	 1.16343
0.135 	 1.17095
0.136 	 1.17846
0.137 	 1.18595
0.138 	 1.19342
0.139 	 1.20088
0.14 	 1.20833
0.141 	 1.21576
0.142 	 1.22318
0.143 	 1.23058
0.144 	 1.23797
0.145 	 1.24534
0.146 	 1.2527
0.147 	 1.26005
0.148 	 1.26738
0.149 	 1.27469
0.15 	 1.28199
0.151 	 1.28928
0.152 	 1.29655
0.153 	 1.30381
0.154 	 1.31106
0.155 	 1.31829
0.156 	 1.3255
0.157 	 1.33271
0.158 	 1.33989
0.159 	 1.34707
0.16 	 1.35423
0.161 	 1.36137
0.162 	 1.3685
0.163 	 1.37562
0.164 	 1.38273
0.165 	 1.38982
0.166 	 1.39689
0.167 	 1.40395
0.168 	 1.411
0.169 	 1.41804
0.17 	 1.42506
0.171 	 1.43206
0.172 	 1.43906
0.173 	 1.44604
0.174 	 1.453
0.175 	 1.45996
0.176 	 1.46689
0.177 	 1.47382
0.178 	 1.48073
0.179 	 1.48763
0.18 	 1.49451
0.181 	 1.50138
0.182 	 1.50824
0.183 	 1.51508
0.184 	 1.52191
0.185 	 1.52873
0.186 	 1.53553
0.187 	 1.54233
0.188 	 1.5491
0.189 	 1.55587
0.19 	 1.56262
0.191 	 1.56935
0.192 	 1.57608
0.193 	 1.58279
0.194 	 1.58949
0.195 	 1.59617
0.196 	 1.60284
0.197 	 1.6095
0.198 	 1.61615
0.199 	 1.62278
0.2 	 1.6294
0.201 	 1.636
0.202 	 1.6426
0.203 	 1.64918
0.204 	 1.65575
0.205 	 1.6623
0.206 	 1.66884
0.207 	 1.67537
0.208 	 1.68189
0.209 	 1.68839
0.21 	 1.69488
0.211 	 1.70136
0.212 	 1.70783
0.213 	 1.71428
0.214 	 1.72072
0.215 	 1.72715
0.216 	 1.73356
0.217 	 1.73996
0.218 	 1.74635
0.219 	 1.75273
0.22 	 1.75909
0.221 	 1.76545
0.222 	 1.77179
0.223 	 1.77811
0.224 	 1.78443
0.225 	 1.79073
0.226 	 1.79702
0.227 	 1.8033
0.228 	 1.80956
0.229 	 1.81582
0.23 	 1.82206
0.231 	 1.82829
0.232 	 1.8345
0.233 	 1.84071
0.234 	 1.8469
0.235 	 1.85308
0.236 	 1.85925
0.237 	 1.8654
0.238 	 1.87155
0.239 	 1.87768
0.24 	 1.8838
0.241 	 1.88991
0.242 	 1.896
0.243 	 1.90209
0.244 	 1.90816
0.245 	 1.91422
0.246 	 1.92027
0.247 	 1.9263
0.248 	 1.93233
0.249 	 1.93834
0.25 	 1.94434
0.251 	 1.95033
0.252 	 1.95631
0.253 	 1.96227
0.254 	 1.96823
0.255 	 1.97417
0.256 	 1.9801
0.257 	 1.98602
0.258 	 1.99193
0.259 	 1.99782
0.26 	 2.00371
0.261 	 2.00958
0.262 	 2.01544
0.263 	 2.02129
0.264 	 2.02713
0.265 	 2.03296
0.266 	 2.03877
0.267 	 2.04458
0.268 	 2.05037
0.269 	 2.05615
0.27 	 2.06192
0.271 	 2.06768
0.272 	 2.07342
0.273 	 2.07916
0.274 	 2.08489
0.275 	 2.0906
0.276 	 2.0963
0.277 	 2.10199
0.278 	 2.10767
0.279 	 2.11334
0.28 	 2.119
0.281 	 2.12465
0.282 	 2.13028
0.283 	 2.13591
0.284 	 2.14152
0.285 	 2.14712
0.286 	 2.15271
0.287 	 2.1583
0.288 	 2.16387
0.289 	 2.16942
0.29 	 2.17497
0.291 	 2.18051
0.292 	 2.18604
0.293 	 2.19155
0.294 	 2.19706
0.295 	 2.20255
0.296 	 2.20803
0.297 	 2.2135
0.298 	 2.21897
0.299 	 2.22442
0.3 	 2.22986
0.301 	 2.23529
0.302 	 2.24071
0.303 	 2.24611
0.304 	 2.25151
0.305 	 2.2569
0.306 	 2.26227
0.307 	 2.26764
0.308 	 2.273
0.309 	 2.27834
0.31 	 2.28368
0.311 	 2.289
0.312 	 2.29431
0.313 	 2.29962
0.314 	 2.30491
0.315 	 2.31019
0.316 	 2.31546
0.317 	 2.32072
0.318 	 2.32598
0.319 	 2.33122
0.32 	 2.33645
0.321 	 2.34167
0.322 	 2.34688
0.323 	 2.35208
0.324 	 2.35727
0.325 	 2.36245
0.326 	 2.36762
0.327 	 2.37278
0.328 	 2.37793
0.329 	 2.38307
0.33 	 2.3882
0.331 	 2.39331
0.332 	 2.39842
0.333 	 2.40352
0.334 	 2.40861
0.335 	 2.41369
0.336 	 2.41876
0.337 	 2.42382
0.338 	 2.42887
0.339 	 2.43391
0.34 	 2.43894
0.341 	 2.44396
0.342 	 2.44897
0.343 	 2.45397
0.344 	 2.45896
0.345 	 2.46394
0.346 	 2.46891
0.347 	 2.47387
0.348 	 2.47882
0.349 	 2.48376
0.35 	 2.48869
0.351 	 2.49362
0.352 	 2.49853
0.353 	 2.50343
0.354 	 2.50833
0.355 	 2.51321
0.356 	 2.51808
0.357 	 2.52295
0.358 	 2.5278
0.359 	 2.53265
0.36 	 2.53748
0.361 	 2.54231
0.362 	 2.54713
0.363 	 2.55194
0.364 	 2.55673
0.365 	 2.56152
0.366 	 2.5663
0.367 	 2.57107
0.368 	 2.57583
0.369 	 2.58058
0.37 	 2.58533
0.371 	 2.59006
0.372 	 2.59478
0.373 	 2.5995
0.374 	 2.6042
0.375 	 2.6089
0.376 	 2.61358
0.377 	 2.61826
0.378 	 2.62293
0.379 	 2.62759
0.38 	 2.63224
0.381 	 2.63688
0.382 	 2.64151
0.383 	 2.64613
0.384 	 2.65075
0.385 	 2.65535
0.386 	 2.65995
0.387 	 2.66453
0.388 	 2.66911
0.389 	 2.67368
0.39 	 2.67824
0.391 	 2.68279
0.392 	 2.68733
0.393 	 2.69186
0.394 	 2.69639
0.395 	 2.7009
0.396 	 2.70541
0.397 	 2.70991
0.398 	 2.7144
0.399 	 2.71888
0.4 	 2.72335
0.401 	 2.72781
0.402 	 2.73226
0.403 	 2.73671
0.404 	 2.74114
0.405 	 2.74557
0.406 	 2.74999
0.407 	 2.7544
0.408 	 2.7588
0.409 	 2.76319
0.41 	 2.76758
0.411 	 2.77195
0.412 	 2.77632
0.413 	 2.78068
0.414 	 2.78503
0.415 	 2.78937
0.416 	 2.7937
0.417 	 2.79803
0.418 	 2.80234
0.419 	 2.80665
0.42 	 2.81095
0.421 	 2.81524
0.422 	 2.81952
0.423 	 2.8238
0.424 	 2.82806
0.425 	 2.83232
0.426 	 2.83657
0.427 	 2.84081
0.428 	 2.84504
0.429 	 2.84926
0.43 	 2.85348
0.431 	 2.85768
0.432 	 2.86188
0.433 	 2.86607
0.434 	 2.87026
0.435 	 2.87443
0.436 	 2.8786
0.437 	 2.88276
0.438 	 2.88691
0.439 	 2.89105
0.44 	 2.89518
0.441 	 2.89931
0.442 	 2.90342
0.443 	 2.90753
0.444 	 2.91163
0.445 	 2.91573
0.446 	 2.91981
0.447 	 2.92389
0.448 	 2.92796
0.449 	 2.93202
0.45 	 2.93607
0.451 	 2.94012
0.452 	 2.94416
0.453 	 2.94819
0.454 	 2.95221
0.455 	 2.95622
0.456 	 2.96023
0.457 	 2.96422
0.458 	 2.96821
0.459 	 2.9722
0.46 	 2.97617
0.461 	 2.98014
0.462 	 2.9841
0.463 	 2.98805
0.464 	 2.99199
0.465 	 2.99593
0.466 	 2.99985
0.467 	 3.00378
0.468 	 3.00769
0.469 	 3.01159
0.47 	 3.01549
0.471 	 3.01938
0.472 	 3.02326
0.473 	 3.02714
0.474 	 3.031
0.475 	 3.03486
0.476 	 3.03871
0.477 	 3.04256
0.478 	 3.04639
0.479 	 3.05022
0.48 	 3.05405
0.481 	 3.05786
0.482 	 3.06167
0.483 	 3.06546
0.484 	 3.06926
0.485 	 3.07304
0.486 	 3.07682
0.487 	 3.08059
0.488 	 3.08435
0.489 	 3.0881
0.49 	 3.09185
0.491 	 3.09559
0.492 	 3.09932
0.493 	 3.10305
0.494 	 3.10677
0.495 	 3.11048
0.496 	 3.11418
0.497 	 3.11788
0.498 	 3.12157
0.499 	 3.12525
0.5 	 3.12892
0.501 	 3.13259
0.502 	 3.13625
0.503 	 3.1399
0.504 	 3.14355
0.505 	 3.14719
0.506 	 3.15082
0.507 	 3.15444
0.508 	 3.15806
0.509 	 3.16167
0.51 	 3.16527
0.511 	 3.16887
0.512 	 3.17246
0.513 	 3.17604
0.514 	 3.17962
0.515 	 3.18318
0.516 	 3.18675
0.517 	 3.1903
0.518 	 3.19385
0.519 	 3.19739
0.52 	 3.20092
0.521 	 3.20445
0.522 	 3.20796
0.523 	 3.21148
0.524 	 3.21498
0.525 	 3.21848
0.526 	 3.22197
0.527 	 3.22546
0.528 	 3.22894
0.529 	 3.23241
0.53 	 3.23587
0.531 	 3.23933
0.532 	 3.24278
0.533 	 3.24622
0.534 	 3.24966
0.535 	 3.25309
0.536 	 3.25652
0.537 	 3.25993
0.538 	 3.26334
0.539 	 3.26675
0.54 	 3.27015
0.541 	 3.27354
0.542 	 3.27692
0.543 	 3.2803
0.544 	 3.28367
0.545 	 3.28703
0.546 	 3.29039
0.547 	 3.29374
0.548 	 3.29708
0.549 	 3.30042
0.55 	 3.30375
0.551 	 3.30708
0.552 	 3.3104
0.553 	 3.31371
0.554 	 3.31701
0.555 	 3.32031
0.556 	 3.3236
0.557 	 3.32689
0.558 	 3.33017
0.559 	 3.33344
0.56 	 3.33671
0.561 	 3.33997
0.562 	 3.34322
0.563 	 3.34647
0.564 	 3.34971
0.565 	 3.35294
0.566 	 3.35617
0.567 	 3.35939
0.568 	 3.36261
0.569 	 3.36582
0.57 	 3.36902
0.571 	 3.37222
0.572 	 3.37541
0.573 	 3.37859
0.574 	 3.38177
0.575 	 3.38494
0.576 	 3.38811
0.577 	 3.39127
0.578 	 3.39442
0.579 	 3.39757
0.58 	 3.40071
0.581 	 3.40384
0.582 	 3.40697
0.583 	 3.41009
0.584 	 3.41321
0.585 	 3.41632
0.586 	 3.41942
0.587 	 3.42252
0.588 	 3.42561
0.589 	 3.4287
0.59 	 3.43178
0.591 	 3.43485
0.592 	 3.43792
0.593 	 3.44098
0.594 	 3.44404
0.595 	 3.44709
0.596 	 3.45013
0.597 	 3.45317
0.598 	 3.4562
