time (s) 	 speed 
0 	 0
0 	 0.049
0.005 	 0.085995
0.01 	 0.113926
0.015 	 0.135014
0.02 	 0.150936
0.025 	 0.162957
0.03 	 0.172032
0.035 	 0.178884
0.04 	 0.184058
0.045 	 0.187964
0.05 	 0.190912
0.055 	 0.193139
0.06 	 0.19482
0.065 	 0.196089
0.07 	 0.197047
0.075 	 0.197771
0.08 	 0.198317
0.085 	 0.198729
0.09 	 0.199041
0.095 	 0.199276
0.1 	 0.199453
0.105 	 0.199587
0.11 	 0.199688
0.115 	 0.199765
0.12 	 0.199822
0.125 	 0.199866
0.13 	 0.199899
0.135 	 0.199924
0.14 	 0.199942
0.145 	 0.199956
0.15 	 0.199967
0.155 	 0.199975
0.16 	 0.199981
0.165 	 0.199986
0.17 	 0.199989
0.175 	 0.199992
0.18 	 0.199994
0.185 	 0.199995
0.19 	 0.199997
0.195 	 0.199997
0.2 	 0.199998
