time (s) 	 theta (rad) 	 omega (rad/s) 	 kinetic 	 potential 	 totalEnergy (J) 
0 	 0.261799 	 0 	 0 	 0.333927 	 0.333927 
0 	 0.261673 	 -0.0253603 	 0.000321572 	 0.333605 	 0.333927 
0.01 	 0.261292 	 -0.0506965 	 0.00128507 	 0.332642 	 0.333927 
0.02 	 0.260659 	 -0.0759848 	 0.00288684 	 0.33104 	 0.333927 
0.03 	 0.259773 	 -0.101201 	 0.00512083 	 0.328806 	 0.333927 
0.04 	 0.258635 	 -0.126322 	 0.00797857 	 0.325948 	 0.333927 
0.05 	 0.257247 	 -0.151322 	 0.0114492 	 0.322478 	 0.333927 
0.06 	 0.255609 	 -0.17618 	 0.0155197 	 0.318407 	 0.333927 
0.07 	 0.253724 	 -0.20087 	 0.0201744 	 0.313752 	 0.333927 
0.08 	 0.251592 	 -0.22537 	 0.0253958 	 0.308531 	 0.333927 
0.09 	 0.249217 	 -0.249656 	 0.031164 	 0.302763 	 0.333927 
0.1 	 0.2466 	 -0.273705 	 0.0374571 	 0.29647 	 0.333927 
0.11 	 0.243744 	 -0.297493 	 0.0442512 	 0.289676 	 0.333927 
0.12 	 0.240651 	 -0.320999 	 0.0515203 	 0.282407 	 0.333927 
0.13 	 0.237325 	 -0.3442 	 0.0592367 	 0.27469 	 0.333927 
0.14 	 0.233768 	 -0.367072 	 0.067371 	 0.266556 	 0.333927 
0.15 	 0.229985 	 -0.389595 	 0.075892 	 0.258035 	 0.333927 
0.16 	 0.225978 	 -0.411746 	 0.0847672 	 0.24916 	 0.333927 
0.17 	 0.221751 	 -0.433503 	 0.0939625 	 0.239964 	 0.333927 
0.18 	 0.217309 	 -0.454846 	 0.103443 	 0.230484 	 0.333927 
0.19 	 0.212655 	 -0.475754 	 0.113171 	 0.220756 	 0.333927 
0.2 	 0.207795 	 -0.496207 	 0.123111 	 0.210816 	 0.333927 
0.21 	 0.202733 	 -0.516183 	 0.133223 	 0.200704 	 0.333927 
0.22 	 0.197473 	 -0.535664 	 0.143468 	 0.190459 	 0.333927 
0.23 	 0.192021 	 -0.554631 	 0.153808 	 0.180119 	 0.333927 
0.24 	 0.186382 	 -0.573063 	 0.164201 	 0.169726 	 0.333927 
0.25 	 0.180562 	 -0.590944 	 0.174608 	 0.159319 	 0.333927 
0.26 	 0.174565 	 -0.608256 	 0.184988 	 0.148939 	 0.333927 
0.27 	 0.168399 	 -0.62498 	 0.1953 	 0.138627 	 0.333927 
0.28 	 0.162068 	 -0.641101 	 0.205505 	 0.128422 	 0.333927 
0.29 	 0.155579 	 -0.656601 	 0.215563 	 0.118364 	 0.333927 
0.3 	 0.148938 	 -0.671466 	 0.225433 	 0.108494 	 0.333927 
0.31 	 0.142152 	 -0.68568 	 0.235079 	 0.0988482 	 0.333927 
0.32 	 0.135227 	 -0.699229 	 0.244461 	 0.0894661 	 0.333927 
0.33 	 0.128169 	 -0.712099 	 0.253543 	 0.0803841 	 0.333927 
0.34 	 0.120987 	 -0.724278 	 0.262289 	 0.0716379 	 0.333927 
